k,rank,time
336,1,0.03190546855330467
342,1,0.031068820506334305
348,1,0.03018114436417818
354,1,0.030572080984711647
362,1,0.03042979072779417
368,1,0.0304263923317194
374,1,0.031435188837349415
379,1,0.029203095473349094
386,1,0.028101847507059574
392,1,0.02561759762465954
398,1,0.02671989146620035
404,1,0.02723390143364668
411,1,0.02347692847251892
417,1,0.024174891412258148
424,1,0.025482049211859703
430,1,0.023280253633856773
436,1,0.019151438027620316
441,1,0.018547045066952705
448,1,0.018294897861778736
453,1,0.016470951959490776
462,1,0.012618561275303364
466,1,0.012723628431558609
472,1,0.012602681294083595
477,1,0.011364093981683254
483,1,0.012464229948818684
490,1,0.012424672953784466
496,1,0.011839654296636581
501,1,0.012631351128220558
507,1,0.01631021499633789
513,1,0.018686390481889248
519,1,0.018525484018027782
526,1,0.020781720988452435
532,1,0.025625841692090034
539,1,0.02423770446330309
545,1,0.022820313461124897
551,1,0.023760389536619186
557,1,0.027248159982264042
563,1,0.02599333692342043
570,1,0.02579647209495306
576,1,0.028445322066545486
582,1,0.02957746386528015
588,1,0.03085701260715723
595,1,0.03115601185709238
601,1,0.028864054940640926
607,1,0.0316458884626627
613,1,0.030870352871716022
620,1,0.03087802231311798
626,1,0.03221951425075531
632,1,0.03402191959321499
638,1,0.0342579847201705
645,1,0.03589531872421503
651,1,0.034273422323167324
658,1,0.029362089931964874
665,1,0.03236078191548586
671,1,0.03019985556602478
677,1,0.029880383983254433
683,1,0.030685165897011757
690,1,0.027277739718556404
695,1,0.028003709390759468
702,1,0.02611401677131653
709,1,0.02502461150288582
715,1,0.02047940343618393
720,1,0.02126286830753088
726,1,0.023020667023956776
735,1,0.019203818403184414
740,1,0.01937488466501236
746,1,0.01806045789271593
752,1,0.01912185549736023
758,1,0.01688199397176504
765,1,0.015451127663254738
771,1,0.014828643761575222
777,1,0.0118414843454957
783,1,0.010423257946968079
789,1,0.009846627712249756
795,1,0.007793980650603771
802,1,0.007828610949218273
809,1,0.008048035204410553
814,1,0.00880920048803091
820,1,0.007374216802418232
826,1,0.006827572360634804
833,1,0.006284546107053757
839,1,0.005847012624144554
844,1,0.005836335010826588
852,1,0.005809864029288292
857,1,0.005732323974370956
863,1,0.0055777039378881454
869,1,0.005564562045037746
875,1,0.005506762303411961
881,1,0.005538471974432468
887,1,0.005389097146689892
893,1,0.005414583720266819
898,1,0.00537136010825634
905,1,0.005230145528912544
911,1,0.00529587734490633
918,1,0.005296570248901844
926,1,0.005207940004765987
931,1,0.005241010338068008
937,1,0.005755108781158924
944,1,0.005153830163180828
951,1,0.005174566060304642
956,1,0.0050509097054600716
4,4,0.004973371513187885
26,4,0.005250236950814724
33,4,0.005568362772464752
40,4,0.005268888548016548
46,4,0.005164939910173416
51,4,0.005806353874504566
57,4,0.0051780445501208305
63,4,0.0055659012869000435
71,4,0.005425289273262024
77,4,0.005507768131792545
83,4,0.0056970687583088875
89,4,0.00557361263781786
95,4,0.005563736893236637
101,4,0.005634448491036892
107,4,0.005753102712333202
113,4,0.005697160959243774
119,4,0.006033817306160927
125,4,0.005928404629230499
131,4,0.006856943480670452
137,4,0.00711682066321373
144,4,0.007960377261042595
150,4,0.008033478632569313
156,4,0.007453463971614838
162,4,0.007784217596054077
169,4,0.0110630439594388
176,4,0.010981776751577854
182,4,0.012217088602483273
188,4,0.014523438178002834
194,4,0.015328571200370789
201,4,0.018806342035531998
207,4,0.017725209705531597
213,4,0.018663974478840828
219,4,0.019036456011235714
226,4,0.019240448251366615
232,4,0.020668060518801212
238,4,0.022770808078348637
245,4,0.020596837624907494
252,4,0.024161923676729202
258,4,0.025651849806308746
264,4,0.026074175722897053
270,4,0.026932181790471077
276,4,0.02895112056285143
283,4,0.02951895259320736
289,4,0.029550664126873016
295,4,0.0316986870020628
301,4,0.030072476714849472
308,4,0.032885356806218624
314,4,0.034126765094697475
320,4,0.03382869344204664
327,4,0.0343997348099947
333,4,0.03163526766002178
339,4,0.030015649273991585
345,4,0.03061300329864025
352,4,0.030719907954335213
358,4,0.027535146102309227
364,4,0.03087494522333145
370,4,0.0351885175332427
377,4,0.03556550946086645
384,4,0.03317853808403015
391,4,0.03004011232405901
397,4,0.03086636122316122
406,4,0.03163788467645645
414,4,0.028557642363011837
421,4,0.030023089610040188
428,4,0.03027718234807253
434,4,0.02579096145927906
445,4,0.021006369963288307
451,4,0.02177206613123417
458,4,0.013032115064561367
464,4,0.014315334148705006
474,4,0.015251964330673218
481,4,0.014891281723976135
488,4,0.01514690462499857
494,4,0.01509172935038805
503,4,0.016080593690276146
509,4,0.020737328566610813
518,4,0.020744336768984795
524,4,0.02191259805113077
531,4,0.02885498944669962
537,4,0.030412296764552593
546,4,0.028221932239830494
554,4,0.027849966660141945
561,4,0.025555693544447422
567,4,0.02535469550639391
573,4,0.027282399125397205
579,4,0.029044545255601406
586,4,0.03108979482203722
592,4,0.03091917186975479
598,4,0.029610405676066875
604,4,0.027993923984467983
610,4,0.03106245119124651
617,4,0.030420685186982155
624,4,0.03160046320408583
630,4,0.03344989661127329
637,4,0.033291240222752094
643,4,0.03502068389207125
649,4,0.033351135440170765
655,4,0.031090112403035164
662,4,0.030086391605436802
668,4,0.030703825876116753
674,4,0.030998737551271915
681,4,0.03056269232183695
687,4,0.027961225248873234
693,4,0.029546556062996387
699,4,0.02865153644233942
706,4,0.025244354270398617
712,4,0.022042150609195232
718,4,0.020117660984396935
724,4,0.02231728658080101
731,4,0.020438062958419323
737,4,0.01993218343704939
743,4,0.017588154412806034
750,4,0.01788998953998089
756,4,0.017329061403870583
762,4,0.01654874999076128
768,4,0.015886440873146057
775,4,0.013007132336497307
781,4,0.011328557506203651
788,4,0.010252371430397034
794,4,0.008542673662304878
799,4,0.00757929403334856
805,4,0.008058891631662846
812,4,0.008484753780066967
818,4,0.007531152106821537
823,4,0.007202942855656147
830,4,0.006927544251084328
837,4,0.005999267101287842
843,4,0.005842212587594986
849,4,0.0058648474514484406
855,4,0.00582883320748806
861,4,0.005657031200826168
867,4,0.005671774037182331
873,4,0.005734344944357872
879,4,0.00558933150023222
885,4,0.005588020198047161
891,4,0.005551978945732117
897,4,0.005653351545333862
903,4,0.005519242957234383
909,4,0.005330100655555725
916,4,0.005307410843670368
922,4,0.005284965969622135
928,4,0.005299528129398823
934,4,0.005297742784023285
941,4,0.00576475914567709
947,4,0.004631633870303631
953,4,0.004650917835533619
959,4,0.004697686061263084
5,5,0.005216526798903942
30,5,0.005296363495290279
36,5,0.005611356347799301
42,5,2.932984263636172
6,6,0.004032907076179981
7,6,0.00411668885499239
8,6,0.004086893051862717
9,6,0.0040826331824064255
10,6,0.004045897163450718
11,6,0.0040895044803619385
12,6,0.004152989014983177
13,6,0.004088650457561016
14,6,0.004124256782233715
15,6,0.004059341736137867
16,6,0.004200326278805733
17,6,0.004127795808017254
18,6,0.00417120847851038
19,6,0.004144401289522648
20,6,0.0041288454085588455
21,6,0.004144478589296341
24,6,0.004145550541579723
28,6,0.004167588427662849
32,6,0.004336049780249596
38,6,0.004142017103731632
43,6,0.004126325249671936
48,6,0.004334447905421257
53,6,0.004889793694019318
59,6,0.004217116162180901
64,6,0.004525111056864262
70,6,0.004403066821396351
74,6,0.004274839535355568
79,6,0.0044024670496582985
86,6,0.004431822337210178
94,6,0.00447874516248703
100,6,0.0046044327318668365
103,6,0.0047062598168849945
109,6,0.004477633163332939
115,6,0.004900021478533745
121,6,0.004668791778385639
126,6,0.004782713949680328
132,6,0.006121578626334667
138,6,0.005743354558944702
140,6,0.006033536046743393
146,6,0.007025308907032013
152,6,0.006825219839811325
158,6,0.006246037781238556
164,6,0.006474394351243973
170,6,0.008792794309556484
175,6,0.008897668682038784
178,6,0.008931277319788933
183,6,0.009582060389220715
189,6,0.012230005115270615
195,6,0.013449245132505894
200,6,0.013708841986954212
206,6,0.014176970347762108
210,6,0.013812542892992496
215,6,0.01563213299959898
220,6,0.015635350719094276
225,6,0.015654195100069046
230,6,0.015930640511214733
234,6,0.018543796613812447
240,6,0.016840793192386627
246,6,0.01791310030966997
250,6,0.020038777962327003
256,6,0.020466506481170654
261,6,0.02210179716348648
265,6,0.021807072684168816
271,6,0.0217144638299942
277,6,0.023170199245214462
281,6,0.024892348796129227
284,6,0.02377495914697647
290,6,0.023238366469740868
296,6,0.02551236841827631
302,6,0.022393506951630116
306,6,0.02417072281241417
310,6,0.026218466460704803
315,6,0.02752740029245615
321,6,0.02690181229263544
326,6,0.02581074181944132
331,6,0.026237049140036106
335,6,0.024454028345644474
340,6,0.024673456326127052
346,6,0.023975919000804424
350,6,0.02436015196144581
356,6,0.02298945188522339
360,6,0.023332377895712852
365,6,0.025806013494729996
371,6,0.023591499775648117
375,6,0.024186371825635433
381,6,0.022410409525036812
385,6,0.0218699648976326
390,6,0.0199074512347579
395,6,0.019504599273204803
400,6,0.020292663015425205
403,6,0.020809908397495747
409,6,0.018247632309794426
415,6,0.017674238421022892
418,6,0.019203027710318565
422,6,0.019060643389821053
427,6,0.018245309591293335
433,6,0.016612756066024303
439,6,0.015234087593853474
442,6,0.013425431214272976
446,6,0.014306174591183662
452,6,0.013189680874347687
457,6,0.01021081954240799
461,6,0.009776569902896881
465,6,0.009579391218721867
470,6,0.009655199944972992
476,6,0.009681226685643196
482,6,0.010144427418708801
487,6,0.008785729296505451
489,6,0.010168725624680519
495,6,0.009772696532309055
500,6,0.01130156870931387
506,6,0.012650019489228725
512,6,0.01402561366558075
515,6,0.013487514108419418
521,6,0.014218578115105629
525,6,0.015634149312973022
530,6,0.018284116871654987
536,6,0.019344228319823742
540,6,0.019057265482842922
544,6,0.01817482803016901
549,6,0.0179815711453557
555,6,0.020207060500979424
559,6,0.020839729346334934
564,6,0.02030049543827772
569,6,0.020075032487511635
574,6,0.023169010877609253
580,6,0.02384786866605282
585,6,0.02501051966100931
589,6,0.02609982155263424
594,6,0.024711664766073227
600,6,0.024266207590699196
