k,rank,time
361,2,0.033546884544193745
369,2,0.035447169095277786
376,2,0.03543469402939081
384,2,0.03188752289861441
392,2,0.029466035775840282
400,2,0.03048721794039011
408,2,0.02751605398952961
416,2,0.026985871605575085
424,2,0.029214064590632915
432,2,0.02398152556270361
440,2,0.021786298602819443
447,2,0.020275171846151352
456,2,0.015338688157498837
463,2,0.01466020941734314
471,2,0.015421794727444649
478,2,0.015466766431927681
488,2,0.01510132197290659
495,2,0.014584043994545937
503,2,0.01565772108733654
511,2,0.022158709354698658
518,2,0.02165023796260357
527,2,0.02364420983940363
536,2,0.027302016504108906
544,2,0.026384773664176464
551,2,0.02719887625426054
558,2,0.03152281325310469
567,2,0.029270272701978683
574,2,0.031686688773334026
582,2,0.03403219673782587
589,2,0.03538196347653866
598,2,0.033509787172079086
606,2,0.034548026509582996
614,2,0.034580555744469166
621,2,0.03459683991968632
630,2,0.03897698875516653
638,2,0.03881295770406723
645,2,0.04096309933811426
653,2,0.03694216813892126
662,2,0.0348338196054101
669,2,0.03316786605864763
677,2,0.03402486443519592
684,2,0.032487962394952774
692,2,0.03302657697349787
700,2,0.031800965778529644
707,2,0.028520272113382816
716,2,0.023221317678689957
725,2,0.023630589246749878
733,2,0.021030711010098457
739,2,0.023292058147490025
747,2,0.021458225324749947
756,2,0.02132291067391634
764,2,0.017837854102253914
771,2,0.0175905404612422
778,2,0.014748328365385532
787,2,0.01264138799160719
796,2,0.009929449297487736
805,2,0.009865237399935722
812,2,0.010607327334582806
820,2,0.009523765183985233
829,2,0.00848657451570034
838,2,0.0077727437019348145
847,2,0.0074569955468177795
856,2,0.007510184310376644
863,2,0.0070665497332811356
870,2,0.007069596089422703
878,2,0.007099740207195282
886,2,0.00722017977386713
896,2,0.006946570239961147
903,2,0.006862526759505272
912,2,0.006832980550825596
921,2,0.006891185417771339
930,2,0.0067947544157505035
940,2,0.00674878153949976
948,2,0.006697970442473888
955,2,0.006505349650979042
6,6,0.004630742594599724
33,6,0.0052635567262768745
40,6,0.005457594990730286
46,6,0.005350005812942982
